IR	braille	hangul	ile	jyutping	kuping	kuping_alt	meyer_wempe	penkyamp	rao	sidneylau	slwong_phonetic	slwong_roman	yale	yutyut
faː˥	⠋⠃⠀	ᄫᅡ	faa1	faa1	faa55^1	faa55^1	fa	fä	fa1	fa1°	ˈfa	ˈfaa	fā	fa
faː˥˧					faa53^1	faa53^1				fa1			fà	
faː˧	⠋⠃⠈	ᄫᅡ〮	faa3	faa3	faa33^3	faa33^3	fà	fâ	fa3	fa3	ˉfa	ˉfaa	fa	fá
faː˧˥	⠋⠃⠁	ᄫᅡ〯	faa2	faa2	faa35^2	faa35^2	fá	fã	fa2	fa2	ˊfa	ˊfaa	fá	fả
faː˨	⠋⠃⠂	ᄫᅡᅟᅠ〮	faa6	faa6	faa22_3	faa22_3	fā	fà	fa6	fa6	ˍfa	ˍfaa	fah	fạ
faː˩	⠋⠃⠄	ᄫᅡ̲	faa4	faa4	faa11_1	faa11_1	fâ	fa	fa4	fa4	ˌfa	ˌfaa	fàh	fà
faː˩˧	⠋⠃⠠	ᄫᅡᅟᅠ〯	faa5	faa5	faa13_2	faa13_2	fǎ	fá	fa5	fa5	ˏfa	ˏfaa	fáh	fã
faːi̯˥	⠋⠬⠀	ᄫᅢ	faai1	faai1	faai55^1	faai55^1	faai	fäi	fai1	faai1°	ˈfai	ˈfaai	fāai	fai
faːi̯˥˧					faai53^1	faai53^1				faai1			fàai	
faːi̯˧	⠋⠬⠈	ᄫᅢ〮	faai3	faai3	faai33^3	faai33^3	fàai	fâi	fai3	faai3	ˉfai	ˉfaai	faai	fái
faːi̯˧˥	⠋⠬⠁	ᄫᅢ〯	faai2	faai2	faai35^2	faai35^2	fáai	fãi	fai2	faai2	ˊfai	ˊfaai	fáai	fải
faːi̯˨	⠋⠬⠂	ᄫᅢᅟᅠ〮	faai6	faai6	faai22_3	faai22_3	fāai	fài	fai6	faai6	ˍfai	ˍfaai	faaih	fại
faːi̯˩	⠋⠬⠄	ᄫᅢ̲	faai4	faai4	faai11_1	faai11_1	fâai	fai	fai4	faai4	ˌfai	ˌfaai	fàaih	fài
faːi̯˩˧	⠋⠬⠠	ᄫᅢᅟᅠ〯	faai5	faai5	faai13_2	faai13_2	fǎai	fái	fai5	faai5	ˏfai	ˏfaai	fáaih	fãi
faːk̚˥	⠋⠅⠀	ᄫᅡᆨ	faak7	faak1	faak55^4	faak55^4	faak	fäg	fag1	faak1°	ˈfak	ˈfaak	fāak	fak
faːk̚˥˧										faak1			fàak	
faːk̚˧	⠋⠅⠈	ᄫᅡᆨ〮	faak8	faak3	faak33-4	faak33-4	fàak	fâg	fag3	faak3	ˉfak	ˉfaak	faak	fák
faːk̚˧˥	⠋⠅⠁	ᄫᅡᆨ〯	faak2	faak2			fáak	fãg	fag2	faak2	ˊfak	ˊfaak	fáak	fảk
faːk̚˨	⠋⠅⠂	ᄫᅡᆨᅟᅠ〮	faak9	faak6	faak22_4	faak22_4	fāak	fàg	fag6	faak6	ˍfak	ˍfaak	faahk	fạk
faːk̚˩	⠋⠅⠄	ᄫᅡᆨ̲	faak4	faak4			fâak	fag	fag4	faak4	ˌfak	ˌfaak	fàahk	fàk
