	initial	nucleus	coda	tone
*	p	...	...	...
*	pʰ	...	...	...
*	m	...	...	...
*	f	...	...	...
*	t	...	...	...
*	tʰ	...	...	...
*	n	...	...	...
*	l	...	...	...
*	k	...	...	...
*	kʰ	...	...	...
*	ŋ	...	...	...
*	h	...	...	...
*	t͡s	...	...	...
*	t͡sʰ	...	...	...
*	s	...	...	...
*	j	...	...	...
*	kʷ	...	...	...
*	kʰʷ	...	...	...
*	w	...	...	...
*	ʔ	...	...	...
*	...	aː	...	...
*	...	ɐ	...	...
*	...	ɛː	...	...
*	...	e	...	...
*	...	iː	...	...
*	...	ɪ	...	...
*	...	ɔː	...	...
*	...	o	...	...
*	...	uː	...	...
*	...	ʊ	...	...
*	...	œː	...	...
*	...	ɵ	...	...
*	...	yː	...	...
*	...	m̩	...	...
*	...	ŋ̍	...	...
*	...	...	""	...
*	...	...	i̯	...
*	...	...	y̯	...
*	...	...	u̯	...
*	...	...	m	...
*	...	...	n	...
*	...	...	ŋ	...
*	...	...	p̚	...
*	...	...	t̚	...
*	...	...	k̚	...
*	...	...	...	˥
*	...	...	...	˧˥
*	...	...	...	˧
*	...	...	...	˩
*	...	...	...	˩˧
*	...	...	...	˨
?	t͡ɕ	...	...	...
?	t͡ɕʰ	...	...	...
?	ɕ	...	...	...
?	...	ɿ	...	...
?	...	...	ʔ	...
?	...	...	...	˥˧
x	m	m̩	...	...
x	...	m̩	i̯	...
x	...	m̩	y̯	...
x	...	m̩	u̯	...
x	...	m̩	m	...
x	...	m̩	n	...
x	...	m̩	ŋ	...
x	...	m̩	p̚	...
x	...	m̩	t̚	...
x	...	m̩	k̚	...
x	...	m̩	ʔ	...
x	ŋ	ŋ̍	...	...
x	...	ŋ̍	i̯	...
x	...	ŋ̍	y̯	...
x	...	ŋ̍	u̯	...
x	...	ŋ̍	m	...
x	...	ŋ̍	n	...
x	...	ŋ̍	ŋ	...
x	...	ŋ̍	p̚	...
x	...	ŋ̍	t̚	...
x	...	ŋ̍	k̚	...
x	...	ŋ̍	ʔ	...
x	...	iː	i̯	...
x	...	yː	y̯	...
x	...	uː	u̯	...
