	initial	nucleus	coda	tone	initial=initial	rime=nucleus,coda	tone=tone
=	p	...	...	...	⠏	...	...
=	pʰ	...	...	...	⠯	...	...
=	m	...	...	...	⠍	...	...
=	f	...	...	...	⠋	...	...
=	t	...	...	...	⠞	...	...
=	tʰ	...	...	...	⠾	...	...
=	n	...	...	...	⠝	...	...
=	l	...	...	...	⠇	...	...
=	k	...	...	...	⠅	...	...
=	kʰ	...	...	...	⠗	...	...
=	ŋ	...	...	...	⠛	...	...
=	h	...	...	...	⠓	...	...
=	t͡s	...	...	...	⠉	...	...
=	t͡sʰ	...	...	...	⠭	...	...
=	s	...	...	...	⠎	...	...
=	j	...	...	...	⠚	...	...
=	kʷ	...	...	...	⠟	...	...
=	kʰʷ	...	...	...	⠻	...	...
=	w	...	...	...	⠺	...	...
=	ʔ	...	...	...	⠀	...	...
=	...	aː	""	...	...	⠃	...
=	...	aː	i̯	...	...	⠬	...
=	...	aː	u̯	...	...	⠌	...
=	...	aː	m	...	...	⠜	...
=	...	aː	n	...	...	⠘	...
=	...	aː	ŋ	...	...	⠉	...
=	...	aː	p̚	...	...	⠏	...
=	...	aː	t̚	...	...	⠞	...
=	...	aː	k̚	...	...	⠅	...
=	...	ɐ	i̯	...	...	⠩	...
=	...	ɐ	u̯	...	...	⠡	...
=	...	ɐ	m	...	...	⠸	...
=	...	ɐ	n	...	...	⠫	...
=	...	ɐ	ŋ	...	...	⠛	...
=	...	ɐ	p̚	...	...	⠢	...
=	...	ɐ	t̚	...	...	⠔	...
=	...	ɐ	k̚	...	...	⠨	...
=	...	ɛː	""	...	...	⠑	...
=	...	ɛː	ŋ	...	...	⠶	...
=	...	ɛː	k̚	...	...	⠺	...
=	...	e	i̯	...	...	⠓	...
=	...	iː	""	...	...	⠊	...
=	...	iː	u̯	...	...	⠽	...
=	...	iː	m	...	...	⠖	...
=	...	iː	n	...	...	⠲	...
=	...	iː	p̚	...	...	⠯	...
=	...	iː	t̚	...	...	⠾	...
=	...	ɪ	ŋ	...	...	⠴	...
=	...	ɪ	k̚	...	...	⠗	...
=	...	ɿ	""	...	...	⠙	...
=	...	ɔː	""	...	...	⠕	...
=	...	ɔː	i̯	...	...	⠣	...
=	...	ɔː	m	...	...	⠇	...
=	...	ɔː	n	...	...	⠝	...
=	...	ɔː	ŋ	...	...	⠰	...
=	...	ɔː	p̚	...	...	⠍	...
=	...	ɔː	t̚	...	...	⠋	...
=	...	ɔː	k̚	...	...	⠻	...
=	...	o	u̯	...	...	⠧	...
=	...	uː	""	...	...	⠥	...
=	...	uː	i̯	...	...	⠳	...
=	...	uː	n	...	...	⠮	...
=	...	uː	t̚	...	...	⠵	...
=	...	ʊ	ŋ	...	...	⠦	...
=	...	ʊ	k̚	...	...	⠟	...
=	...	œː	""	...	...	⠱	...
=	...	œː	ŋ	...	...	⠒	...
=	...	œː	k̚	...	...	⠪	...
=	...	ɵ	y̯	...	...	⠚	...
=	...	ɵ	n	...	...	⠎	...
=	...	ɵ	t̚	...	...	⠭	...
=	...	yː	""	...	...	⠹	...
=	...	yː	n	...	...	⠆	...
=	...	yː	t̚	...	...	⠷	...
=	ʔ	m̩	""	...	⠀	⠍	...
=	ʔ	ŋ̍	""	...	⠀	⠛	...
=	...	...	...	˥	...	...	⠀
=	...	...	...	˧˥	...	...	⠁
=	...	...	...	˧	...	...	⠈
=	...	...	...	˩	...	...	⠄
=	...	...	...	˩˧	...	...	⠠
=	...	...	...	˨	...	...	⠂
>	t͡ɕ	...	...	...	⠉	...	...
>	t͡ɕʰ	...	...	...	⠭	...	...
>	ɕ	...	...	...	⠎	...	...
>	...	...	...	˥˧	...	...	⠀
