	initial	nucleus	coda	tone	choseong=initial	jungseong=nucleus,coda	jongseong=coda	tone=tone
=	p	...	...	...	ᄇ	...	...	...
=	pʰ	...	...	...	ᄑ	...	...	...
=	m	...	...	...	ᄆ	...	...	...
=	f	...	...	...	ᄫ	...	...	...
=	t	...	...	...	ᄃ	...	...	...
=	tʰ	...	...	...	ᄐ	...	...	...
=	n	...	...	...	ᄂ	...	...	...
=	l	...	...	...	ᄅ	...	...	...
=	k	...	...	...	ᄀ	...	...	...
=	kʰ	...	...	...	ᄏ	...	...	...
=	ŋ	...	...	...	ᅌ	...	...	...
=	h	...	...	...	ᄒ	...	...	...
=	t͡s	...	...	...	ᄌ	...	...	...
=	t͡sʰ	...	...	...	ᄎ	...	...	...
=	s	...	...	...	ᄉ	...	...	...
=	kʷ	...	...	...	ᄁ	...	...	...
=	kʰʷ	...	...	...	ꥯ	...	...	...
=	w	...	...	...	ᄝ	...	...	...
=	ʔ	...	...	...	ᄋ	...	...	...
=	...	aː	""	...	...	ᅡ	""	...
=	...	aː	i̯	...	...	ᅢ	""	...
=	...	aː	u̯	...	...	ᅷ	""	...
=	...	aː	m	...	...	ᅡ	ᆷ	...
=	...	aː	n	...	...	ᅡ	ᆫ	...
=	...	aː	ŋ	...	...	ᅡ	ᇰ	...
=	...	aː	p̚	...	...	ᅡ	ᆸ	...
=	...	aː	t̚	...	...	ᅡ	ᆮ	...
=	...	aː	k̚	...	...	ᅡ	ᆨ	...
=	...	ɐ	i̯	...	...	ᆡ	""	...
=	...	ɐ	u̯	...	...	ᆠ	""	...
=	...	ɐ	m	...	...	ᆞ	ᆷ	...
=	...	ɐ	n	...	...	ᆞ	ᆫ	...
=	...	ɐ	ŋ	...	...	ᆞ	ᇰ	...
=	...	ɐ	p̚	...	...	ᆞ	ᆸ	...
=	...	ɐ	t̚	...	...	ᆞ	ᆮ	...
=	...	ɐ	k̚	...	...	ᆞ	ᆨ	...
=	...	ɛː	""	...	...	ᅥ	""	...
=	...	ɛː	ŋ	...	...	ᅥ	ᇰ	...
=	...	ɛː	k̚	...	...	ᅥ	ᆨ	...
=	...	e	i̯	...	...	ᅦ	""	...
=	...	iː	""	...	...	ᅵ	""	...
=	...	iː	u̯	...	...	ᅲ	""	...
=	...	iː	m	...	...	ᅵ	ᆷ	...
=	...	iː	n	...	...	ᅵ	ᆫ	...
=	...	iː	p̚	...	...	ᅵ	ᆸ	...
=	...	iː	t̚	...	...	ᅵ	ᆮ	...
=	...	ɪ	ŋ	...	...	ᅵ	ᇰ	...
=	...	ɪ	k̚	...	...	ᅵ	ᆨ	...
=	...	ɔː	""	...	...	ᅩ	""	...
=	...	ɔː	i̯	...	...	ᅬ	""	...
=	...	ɔː	n	...	...	ᅩ	ᆫ	...
=	...	ɔː	ŋ	...	...	ᅩ	ᇰ	...
=	...	ɔː	t̚	...	...	ᅩ	ᆮ	...
=	...	ɔː	k̚	...	...	ᅩ	ᆨ	...
=	...	o	u̯	...	...	ᆃ	""	...
=	...	uː	""	...	...	ᅮ	""	...
=	...	uː	i̯	...	...	ᅱ	""	...
=	...	uː	n	...	...	ᅮ	ᆫ	...
=	...	uː	t̚	...	...	ᅮ	ᆮ	...
=	...	ʊ	ŋ	...	...	ᅮ	ᇰ	...
=	...	ʊ	k̚	...	...	ᅮ	ᆨ	...
=	...	œː	""	...	...	ᅣ	""	...
=	...	œː	ŋ	...	...	ᅣ	ᇰ	...
=	...	œː	k̚	...	...	ᅣ	ᆨ	...
=	...	ɵ	y̯	...	...	ᆔ	""	...
=	...	ɵ	n	...	...	ᅲ	ᆫ	...
=	...	ɵ	t̚	...	...	ᅲ	ᆮ	...
=	...	yː	""	...	...	ᅳ	""	...
=	...	yː	n	...	...	ᅳ	ᆫ	...
=	...	yː	t̚	...	...	ᅳ	ᆮ	...
=	...	m̩	""	...	...	ᅠ	ᆷ	...
=	...	ŋ̍	""	...	...	ᅠ	ᇰ	...
=	j	aː	""	...	ᅌ	ᅣ	""	...
=	j	aː	i̯	...	ᅌ	ᅤ	""	...
=	j	aː	m	...	ᅌ	ᅣ	ᆷ	...
=	j	aː	ŋ	...	ᅌ	ᅣ	ᇰ	...
=	j	aː	p̚	...	ᅌ	ᅣ	ᆸ	...
=	j	aː	k̚	...	ᅌ	ᅣ	ᆨ	...
=	j	ɐ	i̯	...	ᅌ	ᆝ	""	...
=	j	ɐ	u̯	...	ᅌ	ퟁ	""	...
=	j	ɐ	m	...	ᅌ	ᆝ	ᆷ	...
=	j	ɐ	n	...	ᅌ	ᆝ	ᆫ	...
=	j	ɐ	p̚	...	ᅌ	ᆝ	ᆸ	...
=	j	ɐ	t̚	...	ᅌ	ᆝ	ᆮ	...
=	j	ɛː	""	...	ᅌ	ᅧ	""	...
=	j	ɔː	""	...	ᅌ	ᅭ	""	...
=	j	iː	""	...	ᅌ	ᅵ	""	...
=	j	iː	u̯	...	ᅌ	ᅲ	""	...
=	j	iː	m	...	ᅌ	ᅵ	ᆷ	...
=	j	iː	n	...	ᅌ	ᅵ	ᆫ	...
=	j	iː	p̚	...	ᅌ	ᅵ	ᆸ	...
=	j	iː	t̚	...	ᅌ	ᅵ	ᆮ	...
=	j	ɪ	ŋ	...	ᅌ	ᅵ	ᇰ	...
=	j	ɪ	k̚	...	ᅌ	ᅵ	ᆨ	...
=	j	ʊ	ŋ	...	ᅌ	ᅲ	ᇰ	...
=	j	ʊ	k̚	...	ᅌ	ᅲ	ᆨ	...
=	j	œː	ŋ	...	ᅌ	ᅧ	ᇰ	...
=	j	œː	k̚	...	ᅌ	ᅧ	ᆨ	...
=	j	ɵ	y̯	...	ᅌ	ᆔ	""	...
=	j	ɵ	n	...	ᅌ	ᅲ	ᆫ	...
=	...	...	...	˥	...	...	...	""
=	...	...	...	˧˥	...	...	...	〯
=	...	...	...	˧	...	...	...	〮
=	...	...	...	˩	...	...	...	̲
=	...	...	...	˩˧	...	...	...	ᅟᅠ〯
=	...	...	...	˨	...	...	...	ᅟᅠ〮
>	t͡ɕ	...	...	...	ᄌ	...	...	...
>	t͡ɕʰ	...	...	...	ᄎ	...	...	...
>	ɕ	...	...	...	ᄉ	...	...	...
>	...	ɿ	""	...	...	ᅵ	""	...
>	j	ɛː	ŋ	...	ᅌ	ᅧ	ᇰ	...
>	...	...	...	˥˧	...	...	...	""
