	initial	nucleus	coda	tone	initial=initial	nucleus=nucleus	coda=coda	tone_number=tone	tone_category=tone	tone_name=tone
=	p	...	...	...	p	...	...	...	...	...
=	pʰ	...	...	...	ṕ	...	...	...	...	...
=	m	...	...	...	m	...	...	...	...	...
=	f	...	...	...	f	...	...	...	...	...
=	t	...	...	...	t	...	...	...	...	...
=	tʰ	...	...	...	t́	...	...	...	...	...
=	n	...	...	...	n	...	...	...	...	...
=	l	...	...	...	l	...	...	...	...	...
=	k	...	...	...	k	...	...	...	...	...
=	kʰ	...	...	...	ḱ	...	...	...	...	...
=	ŋ	...	...	...	ŋ	...	...	...	...	...
=	h	...	...	...	h	...	...	...	...	...
=	t͡s	...	...	...	ts	...	...	...	...	...
=	t͡sʰ	...	...	...	tś	...	...	...	...	...
=	s	...	...	...	s	...	...	...	...	...
=	t͡ɕ	...	...	...	tsj	...	...	...	...	...
=	t͡ɕʰ	...	...	...	tsj́	...	...	...	...	...
=	ɕ	...	...	...	sj	...	...	...	...	...
=	j	...	...	...	j	...	...	...	...	...
=	kʷ	...	...	...	kw	...	...	...	...	...
=	kʰʷ	...	...	...	ḱw	...	...	...	...	...
=	w	...	...	...	w	...	...	...	...	...
=	ʔ	...	...	...	ɂ	...	...	...	...	...
=	...	aː	...	...	...	aa	...	...	...	...
=	...	ɐ	...	...	...	a	...	...	...	...
=	...	ɛː	...	...	...	e	...	...	...	...
=	...	e	i̯	...	...	e	i	...	...	...
=	...	iː	...	...	...	i	...	...	...	...
=	...	ɪ	ŋ	...	...	i	ŋ	...	...	...
=	...	ɪ	k̚	...	...	i	k	...	...	...
=	...	ɿ	...	...	...	uu	...	...	...	...
=	...	ɔː	...	...	...	o	...	...	...	...
=	...	o	u̯	...	...	o	u	...	...	...
=	...	uː	...	...	...	u	...	...	...	...
=	...	ʊ	ŋ	...	...	u	ŋ	...	...	...
=	...	ʊ	k̚	...	...	u	k	...	...	...
=	...	œː	...	...	...	ö	...	...	...	...
=	...	ɵ	...	...	...	eo	...	...	...	...
=	...	yː	...	...	...	y	...	...	...	...
=	...	m̩	...	...	...	m	...	...	...	...
=	...	ŋ̍	...	...	...	ŋ	...	...	...	...
=	...	...	""	...	...	...	""	...	...	...
=	...	...	i̯	...	...	...	i	...	...	...
=	...	...	y̯	...	...	...	y	...	...	...
=	...	...	u̯	...	...	...	u	...	...	...
=	...	...	m	...	...	...	m	...	...	...
=	...	...	n	...	...	...	n	...	...	...
