	initial	nucleus	coda	tone	initial=initial	nucleus=nucleus	coda=coda	tone_number=tone	tone_category=tone	tone_name=tone
=	p	...	...	...	p	...	...	...	...	...
=	pʰ	...	...	...	p'	...	...	...	...	...
=	m	...	...	...	m	...	...	...	...	...
=	f	...	...	...	f	...	...	...	...	...
=	t	...	...	...	t	...	...	...	...	...
=	tʰ	...	...	...	t'	...	...	...	...	...
=	n	...	...	...	n	...	...	...	...	...
=	l	...	...	...	l	...	...	...	...	...
=	k	...	...	...	k	...	...	...	...	...
=	kʰ	...	...	...	k'	...	...	...	...	...
=	ŋ	...	...	...	ŋ	...	...	...	...	...
=	h	...	...	...	h	...	...	...	...	...
=	t͡s	...	...	...	ts	...	...	...	...	...
=	t͡sʰ	...	...	...	ts'	...	...	...	...	...
=	s	...	...	...	s	...	...	...	...	...
=	t͡ɕ	...	...	...	tsj	...	...	...	...	...
=	t͡ɕʰ	...	...	...	tsj'	...	...	...	...	...
=	ɕ	...	...	...	sj	...	...	...	...	...
=	j	...	...	...	j	...	...	...	...	...
=	kʷ	...	...	...	kw	...	...	...	...	...
=	kʰʷ	...	...	...	k'w	...	...	...	...	...
=	w	...	...	...	w	...	...	...	...	...
=	ʔ	...	...	...	""	...	...	...	...	...
=	...	aː	...	...	...	aa	...	...	...	...
=	...	ɐ	...	...	...	a	...	...	...	...
=	...	ɛː	...	...	...	e	...	...	...	...
=	...	e	i̯	...	...	e	i	...	...	...
=	...	iː	...	...	...	i	...	...	...	...
=	...	ɪ	ŋ	...	...	i	ng	...	...	...
=	...	ɪ	k̚	...	...	i	k	...	...	...
=	...	ɿ	...	...	...	uu	...	...	...	...
=	...	ɔː	...	...	...	o	...	...	...	...
=	...	o	u̯	...	...	o	u	...	...	...
=	...	uː	...	...	...	u	...	...	...	...
=	...	ʊ	ŋ	...	...	u	ng	...	...	...
=	...	ʊ	k̚	...	...	u	k	...	...	...
=	...	œː	...	...	...	oe	...	...	...	...
=	...	ɵ	...	...	...	eo	...	...	...	...
=	...	ɵ	y̯	...	...	eo	i	...	...	...
=	...	yː	...	...	...	yu	...	...	...	...
=	...	m̩	...	...	...	m	...	...	...	...
=	...	ŋ̍	...	...	...	ng	...	...	...	...
=	...	...	""	...	...	...	""	...	...	...
=	...	...	i̯	...	...	...	i	...	...	...
=	...	...	y̯	...	...	...	y	...	...	...
=	...	...	u̯	...	...	...	u	...	...	...
=	...	...	m	...	...	...	m	...	...	...
=	...	...	n	...	...	...	n	...	...	...
