	initial	nucleus	coda	tone	initial=initial	nucleus_before_tone=nucleus	tone=tone	nucleus_after_tone=nucleus	coda_vowel=coda	coda_consonant=coda
=	p	...	...	...	p	...	...	...	...	...
=	pʰ	...	...	...	p'	...	...	...	...	...
=	m	...	...	...	m	...	...	...	...	...
=	f	...	...	...	f	...	...	...	...	...
=	t	...	...	...	t	...	...	...	...	...
=	tʰ	...	...	...	t'	...	...	...	...	...
=	n	...	...	...	n	...	...	...	...	...
=	l	...	...	...	l	...	...	...	...	...
=	k	...	...	...	k	...	...	...	...	...
=	kʰ	...	...	...	k'	...	...	...	...	...
=	ŋ	...	...	...	ng	...	...	...	...	...
=	h	...	...	...	h	...	...	...	...	...
=	t͡s	...	...	...	ts	...	...	...	...	...
=	t͡sʰ	...	...	...	ts'	...	...	...	...	...
=	s	...	...	...	s	...	...	...	...	...
=	t͡ɕ	...	...	...	ch	...	...	...	...	...
=	t͡ɕʰ	...	...	...	ch'	...	...	...	...	...
=	ɕ	...	...	...	sh	...	...	...	...	...
=	j	...	...	...	y	...	...	...	...	...
=	kʷ	...	...	...	gw	...	...	...	...	...
=	kʰʷ	...	...	...	kw	...	...	...	...	...
=	w	...	...	...	w	...	...	...	...	...
=	ʔ	...	...	...	""	...	...	...	...	...
=	...	aː	...	...	...	a	...	a	...	...
=	...	aː	""	...	...	a	...	""	""	""
=	...	ɐ	...	...	...	a	...	""	...	...
=	...	ɛː	...	...	...	e	...	""	...	...
=	...	e	i̯	...	...	e	...	""	i	""
=	...	iː	...	...	...	i	...	""	...	...
=	j	iː	...	...	""	i	...	""	...	...
=	...	ɪ	ŋ	...	...	i	...	""	""	ng
=	...	ɪ	k̚	...	...	i	...	""	""	k
=	...	ɔː	...	...	...	o	...	""	...	...
=	...	ɔː	""	...	...	o	...	h	""	""
=	...	o	u̯	...	...	o	...	""	""	""
=	...	uː	...	...	...	o	...	o	...	...
=	w	uː	...	...	""	o	...	o	...	...
=	...	ʊ	ŋ	...	...	u	...	""	""	ng
=	...	ʊ	k̚	...	...	u	...	""	""	k
=	...	œː	...	...	...	e	...	u	...	...
=	...	œː	""	...	...	o	...	eh	""	""
=	...	ɵ	y̯	...	...	u	...	""	i	""
=	...	ɵ	n	...	...	u	...	""	""	n
=	...	ɵ	t̚	...	...	u	...	""	""	t
=	...	yː	...	...	...	u	...	e	...	...
=	...	m̩	""	...	...	m	...	""	""	""
=	...	ŋ̍	""	...	...	n	...	g	""	""
=	...	...	""	...	...	...	...	...	""	""
=	...	...	i̯	...	...	...	...	...	i	""
=	...	...	u̯	...	...	...	...	...	u	""
=	...	...	m	...	...	...	...	...	""	m
=	...	...	n	...	...	...	...	...	""	n
=	...	...	ŋ	...	...	...	...	...	""	ng
=	...	...	p̚	...	...	...	...	...	""	p
=	...	...	t̚	...	...	...	...	...	""	t
=	...	...	k̚	...	...	...	...	...	""	k
=	...	...	...	˥	...	...	""	...	...	...
=	...	...	...	˧˥	...	...	́	...	...	...
=	...	...	...	˧	...	...	̀	...	...	...
=	...	...	...	˩	...	...	̂	...	...	...
=	...	...	...	˩˧	...	...	̌	...	...	...
=	...	...	...	˨	...	...	̄	...	...	...
>	...	ɿ	""	...	...	i	...	...	""	""
>	...	...	...	˥˧	...	...	""	...	...	...
x	...	ɛː	u̯	...	...	e	...	...	u	...
