	initial	nucleus	coda	tone	tone=tone	initial=initial	nucleus=nucleus	coda=coda
=	p	...	...	...	...	b	...	...
=	pʰ	...	...	...	...	p	...	...
=	m	...	...	...	...	m	...	...
=	f	...	...	...	...	f	...	...
=	t	...	...	...	...	d	...	...
=	tʰ	...	...	...	...	t	...	...
=	n	...	...	...	...	n	...	...
=	l	...	...	...	...	l	...	...
=	k	...	...	...	...	g	...	...
=	kʰ	...	...	...	...	k	...	...
=	ŋ	...	...	...	...	ŋ	...	...
=	h	...	...	...	...	h	...	...
=	t͡s	...	...	...	...	dz	...	...
=	t͡sʰ	...	...	...	...	ts	...	...
=	s	...	...	...	...	s	...	...
=	j	...	...	...	...	j	...	...
=	kʷ	...	...	...	...	gw	...	...
=	kʰʷ	...	...	...	...	kw	...	...
=	w	...	...	...	...	w	...	...
=	ʔ	...	...	...	...	""	...	...
=	...	aː	...	...	...	...	a	...
=	...	ɐ	...	...	...	...	ɐ	...
=	...	ɛː	...	...	...	...	ɛ	...
=	...	e	i̯	...	...	...	e	i
=	...	iː	...	...	...	...	i	...
=	...	ɪ	ŋ	...	...	...	i	ŋ
=	...	ɪ	k̚	...	...	...	i	k
=	...	ɔː	...	...	...	...	ɔ	...
=	...	o	u̯	...	...	...	o	u
=	...	uː	...	...	...	...	u	...
=	...	ʊ	ŋ	...	...	...	u	ŋ
=	...	ʊ	k̚	...	...	...	u	k
=	...	œː	...	...	...	...	œ	...
=	...	ɵ	y̯	...	...	...	œ	y
=	...	ɵ	n	...	...	...	œ	n
=	...	ɵ	t̚	...	...	...	œ	t
=	...	yː	...	...	...	...	y	...
=	...	m̩	...	...	...	...	m	...
=	...	ŋ̍	...	...	...	...	ŋ	...
=	...	...	""	...	...	...	...	""
=	...	...	i̯	...	...	...	...	i
=	...	...	y̯	...	...	...	...	y
=	...	...	u̯	...	...	...	...	u
=	...	...	m	...	...	...	...	m
=	...	...	n	...	...	...	...	n
=	...	...	ŋ	...	...	...	...	ŋ
=	...	...	p̚	...	...	...	...	p
=	...	...	t̚	...	...	...	...	t
=	...	...	k̚	...	...	...	...	k
=	...	...	...	˥	ˈ	...	...	...
=	...	...	...	˧˥	ˊ	...	...	...
=	...	...	...	˧	ˉ	...	...	...
=	...	...	...	˩	ˌ	...	...	...
=	...	...	...	˩˧	ˏ	...	...	...
=	...	...	...	˨	ˍ	...	...	...
>	t͡ɕ	...	...	...	...	dz	...	...
>	t͡ɕʰ	...	...	...	...	ts	...	...
>	ɕ	...	...	...	...	s	...	...
>	...	ɿ	""	...	...	...	i	""
>	...	...	...	˥˧	ˈ	...	...	...
