	initial	nucleus	coda	tone	initial=initial	nucleus_before_tone=nucleus	coda_before_tone=coda	tone=tone	nucleus_after_tone=nucleus	coda_after_tone=coda
=	p	...	...	...	p	...	...	...	...	...
=	pʰ	...	...	...	p'	...	...	...	...	...
=	m	...	...	...	m	...	...	...	...	...
=	f	...	...	...	f	...	...	...	...	...
=	t	...	...	...	t	...	...	...	...	...
=	tʰ	...	...	...	t'	...	...	...	...	...
=	n	...	...	...	n	...	...	...	...	...
=	l	...	...	...	l	...	...	...	...	...
=	k	...	...	...	k	...	...	...	...	...
=	kʰ	...	...	...	k'	...	...	...	...	...
=	ŋ	...	...	...	ng	...	...	...	...	...
=	h	...	...	...	h	...	...	...	...	...
=	t͡s	...	...	...	ts	...	...	...	...	...
=	t͡sʰ	...	...	...	ts'	...	...	...	...	...
=	s	...	...	...	s	...	...	...	...	...
=	t͡ɕ	...	...	...	ch	...	...	...	...	...
=	t͡ɕʰ	...	...	...	ch'	...	...	...	...	...
=	ɕ	...	...	...	sh	...	...	...	...	...
=	j	...	...	...	y	...	...	...	...	...
=	kʷ	...	...	...	kw	...	...	...	...	...
=	kʰʷ	...	...	...	kw'	...	...	...	...	...
=	w	...	...	...	w	...	...	...	...	...
=	ʔ	...	...	...	""	...	...	...	...	...
=	...	aː	...	...	...	aa	...	...	""	...
=	...	aː	""	...	...	a	""	...	""	""
=	...	ɐ	...	...	...	a	...	...	""	...
=	...	ɛː	...	...	...	e	...	...	""	...
=	...	e	i̯	...	...	e	i	...	""	""
=	...	iː	...	...	...	i	...	...	""	...
=	j	iː	...	...	""	i	...	...	""	...
=	...	ɪ	ŋ	...	...	i	""	...	""	ng
=	...	ɪ	k̚	...	...	i	""	...	""	k
=	...	ɔː	...	...	...	o	...	...	""	...
=	...	ɔː	""	...	...	o	""	...	h	""
=	...	o	u̯	...	...	o	""	...	""	""
=	...	uː	...	...	...	oo	...	...	""	...
=	w	uː	...	...	""	oo	...	...	""	...
=	...	ʊ	ŋ	...	...	u	""	...	""	ng
=	...	ʊ	k̚	...	...	u	""	...	""	k
=	...	œː	...	...	...	eu	...	...	""	...
=	...	ɵ	y̯	...	...	u	i	...	""	""
=	...	ɵ	n	...	...	u	""	...	""	n
=	...	ɵ	t̚	...	...	u	""	...	""	t
=	...	yː	...	...	...	ue	...	...	""	...
=	j	yː	...	...	""	ue	...	...	""	...
=	...	m̩	...	...	...	m	...	...	""	...
=	...	ŋ̍	...	...	...	ng	...	...	""	...
=	...	ɿ	...	...	...	z	...	...	""	...
=	...	...	""	...	...	...	""	...	...	""
=	...	...	i̯	...	...	...	i	...	...	""
=	...	...	u̯	...	...	...	u	...	...	""
=	...	...	m	...	...	...	""	...	...	m
=	...	...	n	...	...	...	""	...	...	n
=	...	...	ŋ	...	...	...	""	...	...	ng
=	...	...	p̚	...	...	...	""	...	...	p
=	...	...	t̚	...	...	...	""	...	...	t
=	...	...	k̚	...	...	...	""	...	...	k
=	...	...	...	˥	...	...	...	""	...	...
=	...	...	...	˧˥	...	...	...	́	...	...
=	...	...	...	˧	...	...	...	̀	...	...
=	...	...	...	˩	...	...	...	̄	...	...
=	...	...	...	˩˧	...	...	...	̆	...	...
=	...	...	...	˨	...	...	...	̂	...	...
=	...	...	p̚	˧	...	...	""	̊	...	p
=	...	...	t̚	˧	...	...	""	̊	...	t
=	...	...	k̚	˧	...	...	""	̊	...	k
=	...	...	p̚	˨	...	...	""	̄	...	p
=	...	...	t̚	˨	...	...	""	̄	...	t
=	...	...	k̚	˨	...	...	""	̄	...	k
x>	...	ɐ	""	...	...	a	""	...	""	""
x>	...	ɛː	i̯	...	...	e	i	...	""	""
x>	...	iː	ŋ	...	...	i	""	...	""	ng
x>	...	iː	k̚	...	...	i	""	...	""	k
x>	...	...	p̚	˧˥	...	...	""	?	...	p
x>	...	...	t̚	˧˥	...	...	""	?	...	t
x>	...	...	k̚	˧˥	...	...	""	?	...	k
x>	...	...	p̚	˩	...	...	""	?	...	p
x>	...	...	t̚	˩	...	...	""	?	...	t
x>	...	...	k̚	˩	...	...	""	?	...	k
x>	...	...	p̚	˩˧	...	...	""	?	...	p
x>	...	...	t̚	˩˧	...	...	""	?	...	t
x>	...	...	k̚	˩˧	...	...	""	?	...	k
x>	...	ɵ	ŋ	...	...	u	""	...	""	ng
x>	...	ɵ	k̚	...	...	u	""	...	""	k
x>	...	ʊ	y̯	...	...	u	i	...	""	""
x>	...	ʊ	n	...	...	u	""	...	""	n
x>	...	ʊ	t̚	...	...	u	""	...	""	t
x<	j	iː	...	...	y	i	...	...	""	...
x<	w	uː	...	...	w	oo	...	...	""	...
x<	j	yː	...	...	y	ue	...	...	""	...
