	initial	nucleus	coda	tone	initial=initial	nucleus_before_tone=nucleus	tone=tone	nucleus_after_tone=nucleus	coda=coda
=	p	...	...	...	b	...	...	...	...
=	pʰ	...	...	...	p	...	...	...	...
=	m	...	...	...	m	...	...	...	...
=	f	...	...	...	f	...	...	...	...
=	t	...	...	...	d	...	...	...	...
=	tʰ	...	...	...	t	...	...	...	...
=	n	...	...	...	n	...	...	...	...
=	l	...	...	...	l	...	...	...	...
=	k	...	...	...	g	...	...	...	...
=	kʰ	...	...	...	k	...	...	...	...
=	ŋ	...	...	...	ng	...	...	...	...
=	h	...	...	...	h	...	...	...	...
=	t͡s	...	...	...	z	...	...	...	...
=	t͡sʰ	...	...	...	c	...	...	...	...
=	s	...	...	...	s	...	...	...	...
=	t͡ɕ	...	...	...	zh	...	...	...	...
=	t͡ɕʰ	...	...	...	ch	...	...	...	...
=	ɕ	...	...	...	sh	...	...	...	...
=	j	...	...	...	y	...	...	...	...
=	kʷ	...	...	...	gu	...	...	...	...
=	kʰʷ	...	...	...	ku	...	...	...	...
=	w	...	...	...	w	...	...	...	...
=	ʔ	...	...	...	""	...	...	...	...
=	...	aː	...	...	...	a	...	""	...
=	...	ɐ	...	...	...	ă	...	""	...
=	...	ɛː	...	...	...	e	...	""	...
=	...	e	i̯	...	...	e	...	""	i
=	...	iː	...	...	...	i	...	""	...
=	...	ɪ	ŋ	...	...	i	...	""	ng
=	...	ɪ	k̚	...	...	i	...	""	k
=	...	ɔː	...	...	...	o	...	""	...
=	...	o	u̯	...	...	o	...	""	u
=	...	uː	...	...	...	u	...	""	...
=	...	ʊ	ŋ	...	...	u	...	""	ng
=	...	ʊ	k̚	...	...	u	...	""	k
=	...	œː	...	...	...	ơ	...	""	...
=	...	ɵ	y̯	...	...	ơ	...	""	ư
=	...	ɵ	n	...	...	ơ	...	""	n
=	...	ɵ	t̚	...	...	ơ	...	""	t
=	...	yː	...	...	...	ư	...	""	...
=	...	m̩	...	...	...	m	...	""	...
=	...	ŋ̍	...	...	...	n	...	g	...
=	...	...	""	...	...	...	...	...	""
=	...	...	i̯	...	...	...	...	...	i
=	...	...	u̯	...	...	...	...	...	u
=	...	...	m	...	...	...	...	...	m
=	...	...	n	...	...	...	...	...	n
=	...	...	ŋ	...	...	...	...	...	ng
=	...	...	p̚	...	...	...	...	...	p
=	...	...	t̚	...	...	...	...	...	t
=	...	...	k̚	...	...	...	...	...	k
=	...	...	...	˥	...	...	""	...	...
=	...	...	...	˧˥	...	...	̉	...	...
=	...	...	...	˧	...	...	́	...	...
=	...	...	...	˩	...	...	̀	...	...
=	...	...	...	˩˧	...	...	̃	...	...
=	...	...	...	˨	...	...	̣	...	...
>	...	ɿ	""	...	...	i	...	""	""
>	...	...	...	˥˧	...	...	""	...	...
x	kʷ	m̩	""	...	gu	m	...	""	""
x	kʰʷ	m̩	""	...	ku	m	...	""	""
x	kʷ	ŋ̍	""	...	gu	n	...	g	""
x	kʰʷ	ŋ̍	""	...	ku	n	...	g	""
