	initial	nucleus	coda	tone	initial=initial	nucleus=nucleus	coda=coda	tone_number=tone	tone_category=tone	tone_name=tone
=	p	...	...	...	p	...	...	...	...	...
=	pʰ	...	...	...	p'	...	...	...	...	...
=	m	...	...	...	m	...	...	...	...	...
=	f	...	...	...	f	...	...	...	...	...
=	t	...	...	...	t	...	...	...	...	...
=	tʰ	...	...	...	t'	...	...	...	...	...
=	n	...	...	...	n	...	...	...	...	...
=	l	...	...	...	l	...	...	...	...	...
=	k	...	...	...	k	...	...	...	...	...
=	kʰ	...	...	...	k'	...	...	...	...	...
=	ŋ	...	...	...	ŋ	...	...	...	...	...
=	h	...	...	...	h	...	...	...	...	...
=	t͡s	...	...	...	ts	...	...	...	...	...
=	t͡sʰ	...	...	...	ts'	...	...	...	...	...
=	s	...	...	...	s	...	...	...	...	...
=	t͡ɕ	...	...	...	tsj	...	...	...	...	...
=	t͡ɕʰ	...	...	...	tsj'	...	...	...	...	...
=	ɕ	...	...	...	sj	...	...	...	...	...
=	j	...	...	...	j	...	...	...	...	...
=	kʷ	...	...	...	kw	...	...	...	...	...
=	kʰʷ	...	...	...	k'w	...	...	...	...	...
=	w	...	...	...	w	...	...	...	...	...
=	ʔ	...	...	...	""	...	...	...	...	...
=	...	aː	...	...	...	aa	...	...	...	...
=	...	ɐ	...	...	...	a	...	...	...	...
=	...	ɛː	...	...	...	e	...	...	...	...
=	...	e	i̯	...	...	e	i	...	...	...
=	...	iː	...	...	...	i	...	...	...	...
=	...	ɪ	ŋ	...	...	i	ng	...	...	...
=	...	ɪ	k̚	...	...	i	k	...	...	...
=	...	ɿ	...	...	...	uu	...	...	...	...
=	...	ɔː	...	...	...	o	...	...	...	...
=	...	o	u̯	...	...	o	u	...	...	...
=	...	uː	...	...	...	u	...	...	...	...
=	...	ʊ	ŋ	...	...	u	ng	...	...	...
=	...	ʊ	k̚	...	...	u	k	...	...	...
=	...	œː	...	...	...	oe	...	...	...	...
=	...	ɵ	...	...	...	eo	...	...	...	...
=	...	ɵ	y̯	...	...	eo	i	...	...	...
=	...	yː	...	...	...	yu	...	...	...	...
=	...	m̩	...	...	...	m	...	...	...	...
=	...	ŋ̍	...	...	...	ng	...	...	...	...
=	...	...	""	...	...	...	""	...	...	...
=	...	...	i̯	...	...	...	i	...	...	...
=	...	...	y̯	...	...	...	y	...	...	...
=	...	...	u̯	...	...	...	u	...	...	...
=	...	...	m	...	...	...	m	...	...	...
=	...	...	n	...	...	...	n	...	...	...
=	...	...	ŋ	...	...	...	ng	...	...	...
=	...	...	p̚	...	...	...	p	...	...	...
=	...	...	t̚	...	...	...	t	...	...	...
=	...	...	k̚	...	...	...	k	...	...	...
=	...	...	...	˥	...	...	...	55	^	1
=	...	...	...	˥˧	...	...	...	53	^	1
=	...	...	...	˧˥	...	...	...	35	^	2
=	...	...	...	˧	...	...	...	33	^	3
=	...	...	...	˩	...	...	...	11	_	1
=	...	...	...	˩˧	...	...	...	13	_	2
=	...	...	...	˨	...	...	...	22	_	3
=	...	...	p̚	˥	...	...	p	55	^	4
=	...	...	t̚	˥	...	...	t	55	^	4
=	...	...	k̚	˥	...	...	k	55	^	4
=	...	...	p̚	˥˧	...	...	p	53	^	4
=	...	...	t̚	˥˧	...	...	t	53	^	4
=	...	...	k̚	˥˧	...	...	k	53	^	4
=	...	...	p̚	˧˥	...	...	p	35	?	4
=	...	...	t̚	˧˥	...	...	t	35	?	4
=	...	...	k̚	˧˥	...	...	k	35	?	4
=	...	...	p̚	˧	...	...	p	33	-	4
=	...	...	t̚	˧	...	...	t	33	-	4
=	...	...	k̚	˧	...	...	k	33	-	4
=	...	...	p̚	˩	...	...	p	11	?	4
=	...	...	t̚	˩	...	...	t	11	?	4
=	...	...	k̚	˩	...	...	k	11	?	4
=	...	...	p̚	˩˧	...	...	p	13	?	4
=	...	...	t̚	˩˧	...	...	t	13	?	4
=	...	...	k̚	˩˧	...	...	k	13	?	4
=	...	...	p̚	˨	...	...	p	22	_	4
=	...	...	t̚	˨	...	...	t	22	_	4
=	...	...	k̚	˨	...	...	k	22	_	4
<	...	...	...	˥	...	...	...	55	""	""
<	...	...	...	˥˧	...	...	...	53	""	""
<	...	...	...	˧˥	...	...	...	35	""	""
<	...	...	...	˧	...	...	...	33	""	""
<	...	...	...	˩	...	...	...	11	""	""
<	...	...	...	˩˧	...	...	...	13	""	""
<	...	...	...	˨	...	...	...	22	""	""
<	...	...	...	˥	...	...	...	""	^	1
<	...	...	...	˧˥	...	...	...	""	^	2
<	...	...	...	˧	...	...	...	""	^	3
<	...	...	...	˩	...	...	...	""	_	1
<	...	...	...	˩˧	...	...	...	""	_	2
<	...	...	...	˨	...	...	...	""	_	3
<	...	...	p̚	˥	...	...	p	""	^	4
<	...	...	t̚	˥	...	...	t	""	^	4
<	...	...	k̚	˥	...	...	k	""	^	4
<	...	...	p̚	˧	...	...	p	""	-	4
<	...	...	t̚	˧	...	...	t	""	-	4
<	...	...	k̚	˧	...	...	k	""	-	4
<	...	...	p̚	˨	...	...	p	""	_	4
<	...	...	t̚	˨	...	...	t	""	_	4
<	...	...	k̚	˨	...	...	k	""	_	4
