	initial	nucleus	coda	tone	initial=initial	nucleus_before_tone_diacritic=nucleus	tone_diacritic=tone	nucleus_after_tone_diacritic=nucleus	coda_vowel=coda	tone_h=tone	coda_consonant=coda
=	p	...	...	...	b	...	...	...	...	...	...
=	pʰ	...	...	...	p	...	...	...	...	...	...
=	m	...	...	...	m	...	...	...	...	...	...
=	f	...	...	...	f	...	...	...	...	...	...
=	t	...	...	...	d	...	...	...	...	...	...
=	tʰ	...	...	...	t	...	...	...	...	...	...
=	n	...	...	...	n	...	...	...	...	...	...
=	l	...	...	...	l	...	...	...	...	...	...
=	k	...	...	...	g	...	...	...	...	...	...
=	kʰ	...	...	...	k	...	...	...	...	...	...
=	ŋ	...	...	...	ng	...	...	...	...	...	...
=	h	...	...	...	h	...	...	...	...	...	...
=	t͡s	...	...	...	j	...	...	...	...	...	...
=	t͡sʰ	...	...	...	ch	...	...	...	...	...	...
=	s	...	...	...	s	...	...	...	...	...	...
=	j	...	...	...	y	...	...	...	...	...	...
=	kʷ	...	...	...	gw	...	...	...	...	...	...
=	kʰʷ	...	...	...	kw	...	...	...	...	...	...
=	w	...	...	...	w	...	...	...	...	...	...
=	ʔ	...	...	...	""	...	...	...	...	...	...
=	...	aː	...	...	...	a	...	a	...	...	...
=	...	aː	""	...	...	a	...	""	""	...	""
=	...	ɐ	...	...	...	a	...	""	...	...	...
=	...	ɛː	...	...	...	e	...	""	...	...	...
=	...	e	i̯	...	...	e	...	""	i	...	""
=	...	iː	...	...	...	i	...	""	...	...	...
=	...	ɪ	ŋ	...	...	i	...	""	""	...	ng
=	...	ɪ	k̚	...	...	i	...	""	""	...	k
=	...	ɔː	...	...	...	o	...	""	...	...	...
=	...	o	u̯	...	...	o	...	""	u	...	""
=	...	uː	...	...	...	u	...	""	...	...	...
=	...	ʊ	ŋ	...	...	u	...	""	""	...	ng
=	...	ʊ	k̚	...	...	u	...	""	""	...	k
=	...	œː	...	...	...	e	...	u	...	...	...
=	...	ɵ	y̯	...	...	e	...	u	i	...	""
=	...	ɵ	n	...	...	e	...	u	""	...	n
=	...	ɵ	t̚	...	...	e	...	u	""	...	t
=	...	yː	...	...	...	yu	...	""	...	...	...
=	j	yː	...	...	""	yu	...	""	...	...	...
=	...	m̩	...	...	...	m	...	""	...	...	...
=	...	ŋ̍	...	...	...	n	...	g	...	...	...
=	...	...	""	...	...	...	...	...	""	...	""
=	...	...	i̯	...	...	...	...	...	i	...	""
=	...	...	u̯	...	...	...	...	...	u	...	""
=	...	...	m	...	...	...	...	...	""	...	m
=	...	...	n	...	...	...	...	...	""	...	n
=	...	...	ŋ	...	...	...	...	...	""	...	ng
=	...	...	p̚	...	...	...	...	...	""	...	p
=	...	...	t̚	...	...	...	...	...	""	...	t
=	...	...	k̚	...	...	...	...	...	""	...	k
=	...	...	...	˥	...	...	̄	...	...	""	...
=	...	...	...	˥˧	...	...	̀	...	...	""	...
=	...	...	...	˧˥	...	...	́	...	...	""	...
=	...	...	...	˧	...	...	""	...	...	""	...
=	...	...	...	˩	...	...	̀	...	...	h	...
=	...	...	...	˩˧	...	...	́	...	...	h	...
=	...	...	...	˨	...	...	""	...	...	h	...
>	t͡ɕ	...	...	...	j	...	...	...	...	...	...
>	t͡ɕʰ	...	...	...	ch	...	...	...	...	...	...
>	ɕ	...	...	...	s	...	...	...	...	...	...
>	...	ɿ	""	...	...	i	...	""	""	...	""
